tripoin. inc, | 2016-10-19 14:45:12,184 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,184 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.invokeInitMethods(1620) | Invoking afterPropertiesSet() on bean with name '(inner bean)#66df8783#1'
tripoin. inc, | 2016-10-19 14:45:12,187 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,187 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,187 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,188 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,188 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(484) | Finished creating instance of bean '(inner bean)#66df8783#1'
tripoin. inc, | 2016-10-19 14:45:12,188 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,188 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,188 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,189 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,190 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,190 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,190 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,191 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,191 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(484) | Finished creating instance of bean '(inner bean)#4cc8ddda#1'
tripoin. inc, | 2016-10-19 14:45:12,191 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(448) | Creating instance of bean '(inner bean)#4b20c6aa#1'
tripoin. inc, | 2016-10-19 14:45:12,191 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,191 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,192 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,192 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,192 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,192 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,193 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(484) | Finished creating instance of bean '(inner bean)#4b20c6aa#1'
tripoin. inc, | 2016-10-19 14:45:12,193 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(448) | Creating instance of bean '(inner bean)#72b4b7de#1'
tripoin. inc, | 2016-10-19 14:45:12,193 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,193 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,194 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,194 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,194 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,194 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,194 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(484) | Finished creating instance of bean '(inner bean)#72b4b7de#1'
tripoin. inc, | 2016-10-19 14:45:12,195 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.invokeInitMethods(1620) | Invoking afterPropertiesSet() on bean with name '(inner bean)#3be4193b'
tripoin. inc, | 2016-10-19 14:45:12,195  INFO| org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(539) | Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Wed Oct 19 14:45:07 ICT 2016]; root of context hierarchy
tripoin. inc, | 2016-10-19 14:45:12,195 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,195 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,196 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,196 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,196 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(247) | Returning eagerly cached instance of singleton bean 'mvcUriComponentsContributor' that is not fully initialized yet - a consequence of a circular reference
tripoin. inc, | 2016-10-19 14:45:12,200 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,200 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,200 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,200 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,200 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(484) | Finished creating instance of bean '(inner bean)#3be4193b'
tripoin. inc, | 2016-10-19 14:45:12,201 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0'
tripoin. inc, | 2016-10-19 14:45:12,201 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.invokeInitMethods(1620) | Invoking afterPropertiesSet() on bean with name 'mvcUriComponentsContributor'
tripoin. inc, | 2016-10-19 14:45:12,201 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(484) | Finished creating instance of bean 'mvcUriComponentsContributor'
tripoin. inc, | 2016-10-19 14:45:12,201 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.web.servlet.handler.MappedInterceptor#0'
tripoin. inc, | 2016-10-19 14:45:12,201 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.getSingleton(221) | Creating shared instance of singleton bean 'org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0'
tripoin. inc, | 2016-10-19 14:45:12,201 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(448) | Creating instance of bean 'org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0'
tripoin. inc, | 2016-10-19 14:45:12,202 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,202 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,207 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doCreateBean(529) | Eagerly caching bean 'org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0' to allow for resolving potential circular references
tripoin. inc, | 2016-10-19 14:45:12,214 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'mvcContentNegotiationManager'
tripoin. inc, | 2016-10-19 14:45:12,214 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(448) | Creating instance of bean '(inner bean)#28508eaf#2'
tripoin. inc, | 2016-10-19 14:45:12,214 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,214 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,215 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,215 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,215 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,215 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,216 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(484) | Finished creating instance of bean '(inner bean)#28508eaf#2'
tripoin. inc, | 2016-10-19 14:45:12,216 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(448) | Creating instance of bean '(inner bean)#76d0bc1d#2'
tripoin. inc, | 2016-10-19 14:45:12,216 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,216 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,217 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,218 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,218 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,218 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,218 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(484) | Finished creating instance of bean '(inner bean)#76d0bc1d#2'
tripoin. inc, | 2016-10-19 14:45:12,218 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(448) | Creating instance of bean '(inner bean)#100fdc74#2'
tripoin. inc, | 2016-10-19 14:45:12,218 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,219 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,219 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,220 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,220 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,220 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,220 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(484) | Finished creating instance of bean '(inner bean)#100fdc74#2'
tripoin. inc, | 2016-10-19 14:45:12,220 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(448) | Creating instance of bean '(inner bean)#e5182e1#2'
tripoin. inc, | 2016-10-19 14:45:12,220 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
